latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
25.41647,68.72794,331.15,0.45,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,295.71,2.8,D
25.5105,68.67235,334.76,0.45,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,293.86,7.42,D
25.51404,68.67179,343.47,0.45,0.39,2026-01-02,0845,N20,VIIRS,n,2.0NRT,298.8,7.42,D
25.5949,69.22289,339.55,0.47,0.4,2026-01-02,0845,N20,VIIRS,n,2.0NRT,298.08,12.25,D
30.38315,70.84583,348.79,0.43,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,295.9,14.97,D
31.42637,72.57767,325.44,0.56,0.52,2026-01-02,0847,N20,VIIRS,n,2.0NRT,288.33,3.32,D
31.84412,71.17893,338.74,0.47,0.48,2026-01-02,0847,N20,VIIRS,n,2.0NRT,292.02,5.38,D
32.08049,73.16089,328.39,0.62,0.54,2026-01-02,0847,N20,VIIRS,n,2.0NRT,290.3,4.33,D
32.30569,73.32016,367,0.32,0.54,2026-01-02,0847,N20,VIIRS,h,2.0NRT,294.44,10.03,D
32.25492,72.54102,325.62,0.57,0.52,2026-01-02,0847,N20,VIIRS,n,2.0NRT,290.46,2.15,D
32.71474,74.38857,329.32,0.37,0.58,2026-01-02,0847,N20,VIIRS,n,2.0NRT,288.96,1.98,D
28.63355,70.5787,338.9,0.4,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,293.91,4.5,D
28.61312,70.25613,343.09,0.38,0.43,2026-01-02,0847,N20,VIIRS,n,2.0NRT,291.49,4.37,D
28.72506,70.26016,340.25,0.38,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,295.49,13.83,D
28.7246,70.25623,333.17,0.38,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,293.29,7.65,D
28.72296,70.26105,339.43,0.39,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,294.33,9.38,D
28.72253,70.25711,329.34,0.39,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,296.75,12.37,D
28.73756,70.28304,338.92,0.39,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,293.77,3.69,D
28.81192,70.7793,335.31,0.41,0.45,2026-01-02,0847,N20,VIIRS,n,2.0NRT,292.03,3.18,D
28.89843,70.32507,334.19,0.39,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,293.07,4.03,D
28.9029,70.32851,338.78,0.39,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,292.8,11.44,D
28.90245,70.32451,327.29,0.39,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,294.56,11.44,D
28.99448,71.08926,343.87,0.43,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,294.75,5.74,D
28.99401,71.08484,335.64,0.43,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,297.19,4.68,D
28.97121,70.71947,341.54,0.41,0.45,2026-01-02,0847,N20,VIIRS,n,2.0NRT,293.09,4.27,D
29.06448,70.36702,339.25,0.39,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,292.55,3.02,D
29.15822,71.01495,332.27,0.43,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,290.2,3.08,D
29.20876,71.04867,327.72,0.43,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,287.85,4.22,D
29.20829,71.04422,335.23,0.43,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,293.02,4.22,D
29.26044,70.46086,327.5,0.4,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,292.68,2.44,D
29.0837,68.70313,338.61,0.49,0.4,2026-01-02,0847,N20,VIIRS,n,2.0NRT,295.06,9.18,D
29.08641,68.70493,346.29,0.49,0.4,2026-01-02,0847,N20,VIIRS,n,2.0NRT,294.21,7.89,D
29.58782,70.90294,349.27,0.43,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,293.41,8.04,D
29.73832,71.28172,336.78,0.45,0.47,2026-01-02,0847,N20,VIIRS,n,2.0NRT,294.75,5.32,D
29.8963,70.20148,329.97,0.39,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,296.31,2.85,D
29.89678,70.20166,331.03,0.39,0.44,2026-01-02,0847,N20,VIIRS,n,2.0NRT,295.56,2.56,D
30.05264,70.92313,340.69,0.43,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,293.15,4.02,D
30.13023,70.92722,333.12,0.44,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,293.47,2.09,D
30.31428,70.75933,338.02,0.43,0.46,2026-01-02,0847,N20,VIIRS,n,2.0NRT,293.1,7.54,D
30.39341,71.06792,328.25,0.45,0.47,2026-01-02,0847,N20,VIIRS,n,2.0NRT,291.91,1.53,D
